"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.09G094600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G001100.Wm82.a2.v1",8,5,8,7,12,10
"Glyma.13G270100.Wm82.a2.v1",58,96,67,38,47,79
"Glyma.20G138100.Wm82.a2.v1",6,7,7,16,22,22
"Glyma.05G212000.Wm82.a2.v1",76,76,66,64,41,46
"Glyma.06G011000.Wm82.a2.v1",497,583,431,422,575,342
"Glyma.16G177900.Wm82.a2.v1",152,125,63,57,53,73
"Glyma.17G149400.Wm82.a2.v1",73,68,89,59,57,75
"Glyma.03G073800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G052700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G262000.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.03G241400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G104600.Wm82.a2.v1",824,873,563,333,223,277
"Glyma.10G237900.Wm82.a2.v1",2,2,1,3,7,4
"Glyma.04G038900.Wm82.a2.v1",203,250,158,193,190,135
"Glyma.08G008800.Wm82.a2.v1",490,635,474,1027,1018,673
"Glyma.13G289500.Wm82.a2.v1",3,4,0,3,5,3
"Glyma.07G079800.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.08G026900.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.03G264700.Wm82.a2.v1",24,35,23,62,54,36
"Glyma.13G284000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G206900.Wm82.a2.v1",111,105,71,59,70,51
"Glyma.20G001700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G253600.Wm82.a2.v1",30,17,28,31,33,21
"Glyma.19G206300.Wm82.a2.v1",60,59,33,89,110,65
