"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.15G046800.Wm82.a2.v1",4,7,1,2,3,4
"Glyma.08G131100.Wm82.a2.v1",31,34,23,28,52,37
"Glyma.16G088200.Wm82.a2.v1",503,500,368,322,428,282
"Glyma.01G062100.Wm82.a2.v1",24,36,22,87,177,78
"Glyma.19G187000.Wm82.a2.v1",250,359,263,139,170,148
"Glyma.20G220000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G058900.Wm82.a2.v1",11,15,17,10,13,9
"Glyma.15G179500.Wm82.a2.v1",16,12,8,10,5,7
"Glyma.16G153900.Wm82.a2.v1",192,252,175,241,223,194
"Glyma.14G171400.Wm82.a2.v1",0,2,3,0,0,1
"Glyma.10G063100.Wm82.a2.v1",83,96,82,70,27,59
"Glyma.10G167800.Wm82.a2.v1",217,288,230,153,102,115
"Glyma.07G058500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G110800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G097300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G120700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G279200.Wm82.a2.v1",16,15,13,22,33,13
"Glyma.13G305500.Wm82.a2.v1",9,9,18,5,4,1
"Glyma.03G238400.Wm82.a2.v1",345,323,227,202,249,216
"Glyma.07G260900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G327400.Wm82.a2.v1",59,73,81,31,46,46
"Glyma.02G228800.Wm82.a2.v1",2,5,3,6,3,2
"Glyma.19G142200.Wm82.a2.v1",5,6,3,3,2,0
"Glyma.17G183300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G148800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G159400.Wm82.a2.v1",148,122,86,100,102,107
"Glyma.02G157300.Wm82.a2.v1",4,3,2,0,0,0
"Glyma.08G176900.Wm82.a2.v1",106,110,60,114,195,72
"Glyma.11G108400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G026200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G201000.Wm82.a2.v1",20,32,21,20,44,20
"Glyma.15G133200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G044300.Wm82.a2.v1",12,9,4,12,13,11
"Glyma.10G097300.Wm82.a2.v1",2,1,2,4,2,2
"Glyma.19G074100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G231000.Wm82.a2.v1",4,1,0,0,0,1
"Glyma.06G305300.Wm82.a2.v1",20,39,25,45,47,38
"Glyma.10G201000.Wm82.a2.v1",116,101,84,87,97,73
"Glyma.13G008000.Wm82.a2.v1",86,69,68,95,110,70
"Glyma.06G139900.Wm82.a2.v1",200,249,177,166,251,187
"Glyma.09G055000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G108600.Wm82.a2.v1",47,53,44,30,43,42
"Glyma.19G195600.Wm82.a2.v1",61,58,46,48,55,38
"Glyma.03G129900.Wm82.a2.v1",103,98,55,53,71,62
"Glyma.02G143700.Wm82.a2.v1",909,994,742,877,841,653
"Glyma.20G052400.Wm82.a2.v1",65,74,61,63,64,47
"Glyma.09G162700.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.08G129000.Wm82.a2.v1",17,24,17,22,22,19
"Glyma.04G123600.Wm82.a2.v1",117,160,115,103,110,113
"Glyma.02G055600.Wm82.a2.v1",0,0,1,0,0,2
"Glyma.13G274600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G074100.Wm82.a2.v1",504,520,600,702,655,636
"Glyma.20G178400.Wm82.a2.v1",149,154,127,121,131,98
"Glyma.12G216500.Wm82.a2.v1",33,21,17,19,26,16
"Glyma.02G115400.Wm82.a2.v1",321,281,192,270,268,239
"Glyma.04G078200.Wm82.a2.v1",187,202,172,167,189,125
"Glyma.10G058600.Wm82.a2.v1",68,71,43,76,80,74
"Glyma.01G010800.Wm82.a2.v1",87,67,63,63,50,46
"Glyma.09G156300.Wm82.a2.v1",48,54,42,52,42,43
"Glyma.06G120900.Wm82.a2.v1",0,1,0,0,1,2
"Glyma.19G171200.Wm82.a2.v1",277,233,223,200,205,207
"Glyma.14G223200.Wm82.a2.v1",316,285,171,144,166,177
"Glyma.04G083500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G062600.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.14G080900.Wm82.a2.v1",0,0,0,1,0,3
"Glyma.09G264000.Wm82.a2.v1",22,19,16,39,54,25
"Glyma.19G263600.Wm82.a2.v1",253,219,174,184,193,158
"Glyma.14G204500.Wm82.a2.v1",50,32,26,31,33,20
"Glyma.08G277500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G096200.Wm82.a2.v1",1,0,0,0,0,1
"Glyma.06G005000.Wm82.a2.v1",24,27,17,38,43,26
"Glyma.18G056900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G125200.Wm82.a2.v1",1,6,4,3,3,4
"Glyma.10G182600.Wm82.a2.v1",156,168,111,102,108,80
"Glyma.14G089400.Wm82.a2.v1",96,92,65,80,65,51
"Glyma.15G244900.Wm82.a2.v1",6,4,2,1,5,4
"Glyma.04G040600.Wm82.a2.v1",45,58,32,78,97,41
"Glyma.17G240300.Wm82.a2.v1",10,7,12,4,4,3
"Glyma.19G216200.Wm82.a2.v1",583,553,462,405,518,468
"Glyma.12G129500.Wm82.a2.v1",10,4,5,3,3,3
"Glyma.10G206600.Wm82.a2.v1",205,224,175,278,262,259
"Glyma.04G231500.Wm82.a2.v1",435,452,357,515,659,385
"Glyma.01G010300.Wm82.a2.v1",405,451,363,292,398,336
"Glyma.18G133300.Wm82.a2.v1",14,5,14,11,20,10
"Glyma.03G187100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G126400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G172700.Wm82.a2.v1",372,338,253,205,221,230
"Glyma.06G298000.Wm82.a2.v1",0,3,2,3,2,7
"Glyma.04G090000.Wm82.a2.v1",7,7,3,2,0,1
"Glyma.08G287600.Wm82.a2.v1",494,435,333,387,349,269
"Glyma.09G255500.Wm82.a2.v1",1308,1474,1142,2230,2630,1782
"Glyma.09G113600.Wm82.a2.v1",11,7,5,3,3,1
"Glyma.10G288000.Wm82.a2.v1",51,57,39,57,77,41
"Glyma.17G221100.Wm82.a2.v1",122,111,95,117,118,95
"Glyma.02G060800.Wm82.a2.v1",1,0,0,0,1,0
"Glyma.11G195400.Wm82.a2.v1",4,6,3,1,3,3
"Glyma.14G067600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G272700.Wm82.a2.v1",1,0,2,0,0,0
"Glyma.13G302000.Wm82.a2.v1",0,2,0,2,5,1
"Glyma.10G038900.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.20G076000.Wm82.a2.v1",2,3,2,23,11,13
"Glyma.08G304300.Wm82.a2.v1",256,203,178,191,197,211
"Glyma.17G238700.Wm82.a2.v1",182,148,99,135,147,151
"Glyma.15G222400.Wm82.a2.v1",14,15,15,14,20,11
"Glyma.11G075100.Wm82.a2.v1",735,637,500,353,317,389
"Glyma.18G112400.Wm82.a2.v1",15,15,8,14,19,16
"Glyma.10G010200.Wm82.a2.v1",666,550,465,379,505,410
"Glyma.01G045200.Wm82.a2.v1",62,121,106,42,34,53
"Glyma.15G061600.Wm82.a2.v1",284,310,273,286,373,304
"Glyma.U036900.Wm82.a2.v1",1,2,2,3,3,3
"Glyma.04G217900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G205200.Wm82.a2.v1",3,6,4,1,2,3
"Glyma.11G126700.Wm82.a2.v1",9,16,14,17,10,11
"Glyma.07G206800.Wm82.a2.v1",696,792,613,974,981,698
"Glyma.13G159700.Wm82.a2.v1",21,18,8,5,7,8
"Glyma.17G124600.Wm82.a2.v1",13,19,10,3,2,1
"Glyma.14G181200.Wm82.a2.v1",2,7,2,1,2,3
"Glyma.08G005800.Wm82.a2.v1",31,45,31,76,93,75
"Glyma.03G154500.Wm82.a2.v1",0,4,0,2,3,1
"Glyma.08G225200.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.19G108700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G208700.Wm82.a2.v1",129,117,100,141,234,120
"Glyma.15G232300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G005600.Wm82.a2.v1",20,32,27,21,13,23
"Glyma.20G209100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G226800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G163100.Wm82.a2.v1",117,106,143,42,44,43
"Glyma.07G212500.Wm82.a2.v1",51,45,37,33,42,26
"Glyma.06G212000.Wm82.a2.v1",60,66,54,70,60,59
"Glyma.03G092600.Wm82.a2.v1",0,3,1,2,0,2
"Glyma.01G240000.Wm82.a2.v1",475,485,355,466,624,365
"Glyma.08G126100.Wm82.a2.v1",226,231,182,269,330,213
"Glyma.07G214800.Wm82.a2.v1",12,12,16,17,17,8
"Glyma.04G141000.Wm82.a2.v1",117,119,89,81,85,89
"Glyma.13G068900.Wm82.a2.v1",30,22,24,21,18,10
"Glyma.08G278700.Wm82.a2.v1",3,5,2,0,0,1
"Glyma.19G259800.Wm82.a2.v1",930,948,715,1205,1492,842
"Glyma.13G244000.Wm82.a2.v1",4,5,3,12,9,6
"Glyma.07G169400.Wm82.a2.v1",3,2,3,5,8,13
"Glyma.05G013900.Wm82.a2.v1",11,20,15,13,10,9
"Glyma.03G082200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G218800.Wm82.a2.v1",269,246,214,207,212,175
"Glyma.08G175400.Wm82.a2.v1",3,2,0,1,0,0
"Glyma.11G236100.Wm82.a2.v1",304,178,119,59,155,110
"Glyma.15G086500.Wm82.a2.v1",150,130,90,70,64,66
"Glyma.18G090300.Wm82.a2.v1",43,57,48,41,52,44
"Glyma.12G035400.Wm82.a2.v1",24,20,16,6,12,16
"Glyma.01G061300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G287100.Wm82.a2.v1",9,7,11,8,11,3
"Glyma.16G019200.Wm82.a2.v1",6,2,0,0,2,5
"Glyma.08G193000.Wm82.a2.v1",243,232,182,93,141,154
"Glyma.02G276200.Wm82.a2.v1",39,27,29,31,50,23
"Glyma.02G029900.Wm82.a2.v1",3,6,1,9,44,23
"Glyma.17G076900.Wm82.a2.v1",9,6,3,4,4,3
"Glyma.17G122100.Wm82.a2.v1",22,16,15,21,10,3
"Glyma.13G250500.Wm82.a2.v1",28,22,10,22,25,13
"Glyma.03G179000.Wm82.a2.v1",88,74,57,69,87,44
"Glyma.07G241300.Wm82.a2.v1",102,102,85,90,95,79
"Glyma.15G078000.Wm82.a2.v1",95,72,60,54,66,57
"Glyma.18G291500.Wm82.a2.v1",736,574,312,580,475,436
"Glyma.14G107200.Wm82.a2.v1",201,160,115,109,104,112
"Glyma.06G010900.Wm82.a2.v1",53,45,24,60,57,46
"Glyma.13G191100.Wm82.a2.v1",141,107,87,102,140,111
"Glyma.06G228100.Wm82.a2.v1",2,5,1,6,4,1
"Glyma.20G003800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G055800.Wm82.a2.v1",671,746,519,449,521,469
"Glyma.09G023300.Wm82.a2.v1",85,66,70,93,78,70
"Glyma.06G068600.Wm82.a2.v1",83,55,43,47,31,30
"Glyma.02G277900.Wm82.a2.v1",71,82,53,43,50,57
"Glyma.17G111900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G031100.Wm82.a2.v1",133,142,121,111,124,80
"Glyma.13G321600.Wm82.a2.v1",32,15,18,116,232,104
"Glyma.08G335100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G194100.Wm82.a2.v1",1,0,1,0,1,0
"Glyma.15G109700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G001900.Wm82.a2.v1",15,3,9,38,63,31
"Glyma.19G218600.Wm82.a2.v1",1,1,0,0,0,0
"Glyma.13G204400.Wm82.a2.v1",34,42,36,54,40,26
"Glyma.01G195700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G168200.Wm82.a2.v1",71,71,69,76,47,69
"Glyma.U041600.Wm82.a2.v1",93,63,71,59,83,72
"Glyma.02G180800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G045700.Wm82.a2.v1",54,72,41,36,45,39
"Glyma.20G028100.Wm82.a2.v1",81,71,44,49,74,47
"Glyma.14G175100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G186500.Wm82.a2.v1",37,45,20,15,27,32
"Glyma.06G017900.Wm82.a2.v1",3304,4180,3440,3357,3009,2366
"Glyma.16G057300.Wm82.a2.v1",4,5,2,1,1,2
"Glyma.13G232800.Wm82.a2.v1",12,16,10,21,17,19
"Glyma.17G124300.Wm82.a2.v1",15,12,13,21,34,17
"Glyma.13G213900.Wm82.a2.v1",11,14,6,24,49,19
"Glyma.10G076700.Wm82.a2.v1",78,83,54,75,74,46
"Glyma.10G161100.Wm82.a2.v1",3,0,0,2,2,3
"Glyma.08G176800.Wm82.a2.v1",46,51,48,46,57,35
"Glyma.09G200400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G035100.Wm82.a2.v1",1,3,1,2,0,0
"Glyma.19G105000.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.03G259700.Wm82.a2.v1",3,1,1,0,0,0
"Glyma.15G177300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G100400.Wm82.a2.v1",426,590,409,357,429,346
"Glyma.20G095500.Wm82.a2.v1",8,4,7,10,18,5
"Glyma.08G014300.Wm82.a2.v1",125,125,105,127,113,101
"Glyma.08G254500.Wm82.a2.v1",407,375,286,278,327,225
"Glyma.19G227200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G033300.Wm82.a2.v1",50,47,39,43,61,33
"Glyma.19G137300.Wm82.a2.v1",46,65,45,39,43,32
"Glyma.07G263700.Wm82.a2.v1",166,123,66,111,115,95
"Glyma.11G072100.Wm82.a2.v1",48,53,34,39,40,32
"Glyma.11G103800.Wm82.a2.v1",136,169,109,86,94,85
"Glyma.14G206400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G319800.Wm82.a2.v1",136,133,118,111,140,98
"Glyma.04G024000.Wm82.a2.v1",4,9,7,6,10,5
"Glyma.07G230700.Wm82.a2.v1",3,4,4,1,1,0
"Glyma.13G091000.Wm82.a2.v1",166,168,122,90,105,101
"Glyma.02G072300.Wm82.a2.v1",16,22,11,10,5,9
"Glyma.17G240800.Wm82.a2.v1",55,38,38,54,71,55
"Glyma.05G098300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G107100.Wm82.a2.v1",92,54,58,26,43,52
"Glyma.03G198500.Wm82.a2.v1",51,60,24,34,43,34
"Glyma.07G145300.Wm82.a2.v1",0,0,1,0,0,1
"Glyma.13G059700.Wm82.a2.v1",5,5,2,13,9,3
"Glyma.06G089300.Wm82.a2.v1",250,225,101,305,361,260
"Glyma.13G136000.Wm82.a2.v1",105,74,46,26,33,42
"Glyma.10G107600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G154500.Wm82.a2.v1",246,220,157,173,158,170
"Glyma.18G009600.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.08G125700.Wm82.a2.v1",154,168,166,123,142,141
"Glyma.07G085900.Wm82.a2.v1",224,299,204,182,214,182
"Glyma.17G111500.Wm82.a2.v1",379,389,312,369,406,314
"Glyma.09G206300.Wm82.a2.v1",185,367,304,80,114,151
"Glyma.07G095100.Wm82.a2.v1",2,3,0,0,3,0
"Glyma.02G296300.Wm82.a2.v1",1157,1113,582,222,214,307
"Glyma.U018900.Wm82.a2.v1",261,231,252,205,197,204
"Glyma.14G064800.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.13G319100.Wm82.a2.v1",17,9,16,0,3,2
"Glyma.18G269400.Wm82.a2.v1",7,9,9,5,6,8
"Glyma.07G016300.Wm82.a2.v1",4,11,5,10,12,4
"Glyma.19G123500.Wm82.a2.v1",28,26,23,26,18,28
"Glyma.05G038800.Wm82.a2.v1",62,41,42,61,58,43
"Glyma.16G132600.Wm82.a2.v1",59,57,42,48,61,55
"Glyma.05G164200.Wm82.a2.v1",19,19,15,41,56,23
"Glyma.01G170400.Wm82.a2.v1",90,119,82,68,52,52
"Glyma.18G033300.Wm82.a2.v1",0,0,0,0,4,4
"Glyma.14G040000.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.19G174200.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.13G361600.Wm82.a2.v1",0,0,2,0,0,2
"Glyma.17G190800.Wm82.a2.v1",137,158,117,151,143,117
"Glyma.08G075200.Wm82.a2.v1",2,2,4,3,6,12
"Glyma.08G243900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G004700.Wm82.a2.v1",4,3,2,0,0,1
"Glyma.02G281400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G250500.Wm82.a2.v1",75,80,40,77,101,76
"Glyma.12G117400.Wm82.a2.v1",30,22,25,13,21,17
"Glyma.15G182500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G061100.Wm82.a2.v1",86,42,51,54,119,85
"Glyma.08G129700.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.16G166900.Wm82.a2.v1",11,15,13,26,30,17
"Glyma.02G077300.Wm82.a2.v1",1,1,0,1,1,0
"Glyma.13G070400.Wm82.a2.v1",31,50,50,44,45,39
"Glyma.08G045600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G116100.Wm82.a2.v1",55,48,41,41,61,46
"Glyma.19G015900.Wm82.a2.v1",209,201,138,125,145,118
"Glyma.05G024200.Wm82.a2.v1",1190,1250,917,1271,1580,1053
"Glyma.08G114400.Wm82.a2.v1",46,78,53,59,47,50
"Glyma.13G335700.Wm82.a2.v1",72,95,58,83,78,85
"Glyma.15G273800.Wm82.a2.v1",3,7,2,0,1,1
"Glyma.11G009100.Wm82.a2.v1",87,85,49,46,51,45
"Glyma.17G105800.Wm82.a2.v1",795,827,505,206,199,262
"Glyma.11G035800.Wm82.a2.v1",125,108,95,115,163,98
"Glyma.10G194400.Wm82.a2.v1",134,133,114,114,143,117
"Glyma.09G028000.Wm82.a2.v1",98,90,84,49,79,55
"Glyma.08G076500.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.03G125400.Wm82.a2.v1",4,6,1,5,4,5
"Glyma.06G321500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G202500.Wm82.a2.v1",595,541,439,420,441,429
"Glyma.16G007100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G051100.Wm82.a2.v1",1,0,1,0,2,0
"Glyma.03G238100.Wm82.a2.v1",99,97,76,77,103,80
"Glyma.10G270200.Wm82.a2.v1",197,150,111,70,98,93
"Glyma.12G166600.Wm82.a2.v1",7,8,8,3,7,8
"Glyma.10G216400.Wm82.a2.v1",11,4,8,6,8,14
"Glyma.08G207900.Wm82.a2.v1",124,190,164,64,48,134
"Glyma.09G061400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G065100.Wm82.a2.v1",177,159,135,121,152,144
"Glyma.19G044500.Wm82.a2.v1",1,0,1,0,6,2
"Glyma.02G194100.Wm82.a2.v1",2,0,0,0,5,0
"Glyma.10G224600.Wm82.a2.v1",46,37,34,39,51,33
"Glyma.17G060400.Wm82.a2.v1",4,7,3,5,7,6
"Glyma.12G172400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G050300.Wm82.a2.v1",3,4,3,2,1,1
"Glyma.11G213000.Wm82.a2.v1",739,756,646,178,213,258
"Glyma.16G110300.Wm82.a2.v1",44,58,38,42,45,37
"Glyma.04G105400.Wm82.a2.v1",2,1,0,1,0,1
"Glyma.20G062400.Wm82.a2.v1",45,61,49,32,44,52
"Glyma.10G036800.Wm82.a2.v1",0,1,0,1,0,0
"Glyma.19G101100.Wm82.a2.v1",1291,1372,894,924,1033,736
"Glyma.18G243900.Wm82.a2.v1",228,206,154,187,234,170
"Glyma.15G175800.Wm82.a2.v1",14,8,10,5,10,13
"Glyma.13G361900.Wm82.a2.v1",46,34,22,18,22,26
"Glyma.13G203900.Wm82.a2.v1",3,0,1,0,0,5
"Glyma.02G159700.Wm82.a2.v1",4,1,2,1,0,1
"Glyma.09G046500.Wm82.a2.v1",329,349,262,323,342,266
"Glyma.11G054700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G172100.Wm82.a2.v1",148,117,93,120,127,116
"Glyma.14G185800.Wm82.a2.v1",2,3,2,4,1,0
"Glyma.15G029100.Wm82.a2.v1",70,95,70,59,53,75
"Glyma.10G017500.Wm82.a2.v1",81,74,54,33,20,28
"Glyma.03G107600.Wm82.a2.v1",8,11,4,7,3,1
"Glyma.16G075800.Wm82.a2.v1",77,70,65,101,101,108
"Glyma.09G127000.Wm82.a2.v1",328,234,220,173,200,130
"Glyma.09G089900.Wm82.a2.v1",21,17,12,6,27,19
"Glyma.01G152200.Wm82.a2.v1",7,0,5,3,1,1
"Glyma.03G252900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G040700.Wm82.a2.v1",55,66,40,32,32,29
"Glyma.15G264400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G026400.Wm82.a2.v1",8,8,6,6,7,9
"Glyma.12G199500.Wm82.a2.v1",171,164,121,282,266,210
"Glyma.18G267700.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.14G154100.Wm82.a2.v1",2,1,1,1,0,1
"Glyma.06G123000.Wm82.a2.v1",94,89,62,52,61,55
"Glyma.17G228600.Wm82.a2.v1",47,51,31,23,20,23
"Glyma.07G190300.Wm82.a2.v1",302,286,243,319,353,265
"Glyma.12G059100.Wm82.a2.v1",166,275,237,153,311,526
"Glyma.09G096600.Wm82.a2.v1",54,35,35,31,36,24
"Glyma.02G039700.Wm82.a2.v1",2312,2228,1192,622,708,715
"Glyma.15G057100.Wm82.a2.v1",9,17,6,4,9,7
"Glyma.11G149300.Wm82.a2.v1",10,12,8,6,9,6
"Glyma.15G175400.Wm82.a2.v1",2,3,1,1,0,0
"Glyma.02G035200.Wm82.a2.v1",21,23,21,6,11,14
"Glyma.14G199200.Wm82.a2.v1",127,139,77,52,61,74
"Glyma.06G317200.Wm82.a2.v1",32,28,19,6,6,5
"Glyma.06G238500.Wm82.a2.v1",321,357,288,258,250,194
"Glyma.17G110400.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.02G232200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G236000.Wm82.a2.v1",0,0,0,0,3,0
"Glyma.07G273500.Wm82.a2.v1",296,302,245,277,340,252
"Glyma.11G116500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G230700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G171400.Wm82.a2.v1",402,532,454,650,818,530
"Glyma.05G054700.Wm82.a2.v1",270,285,214,177,234,198
"Glyma.08G180900.Wm82.a2.v1",83,79,53,108,103,71
"Glyma.10G029300.Wm82.a2.v1",0,3,1,28,37,11
"Glyma.17G140700.Wm82.a2.v1",42,41,30,21,27,22
"Glyma.03G113700.Wm82.a2.v1",50,45,26,21,31,25
"Glyma.13G354600.Wm82.a2.v1",79,90,103,88,70,59
"Glyma.10G162500.Wm82.a2.v1",60,65,37,74,71,42
"Glyma.18G246600.Wm82.a2.v1",2,1,1,8,7,5
"Glyma.11G165300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G152900.Wm82.a2.v1",1,3,0,1,3,1
"Glyma.09G146500.Wm82.a2.v1",344,404,284,209,185,211
"Glyma.04G240300.Wm82.a2.v1",11,7,11,7,10,7
"Glyma.09G107100.Wm82.a2.v1",84,38,15,12,38,46
"Glyma.05G164400.Wm82.a2.v1",34,48,40,50,53,26
"Glyma.20G004900.Wm82.a2.v1",15,9,20,9,3,13
"Glyma.09G181800.Wm82.a2.v1",34,52,32,50,32,38
"Glyma.16G039200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G051800.Wm82.a2.v1",31,28,21,15,22,19
"Glyma.18G049700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G059300.Wm82.a2.v1",5,8,11,8,21,14
"Glyma.04G160900.Wm82.a2.v1",261,244,154,205,210,194
"Glyma.04G088700.Wm82.a2.v1",150,142,96,64,49,48
"Glyma.11G241900.Wm82.a2.v1",22,17,13,12,6,14
"Glyma.15G039900.Wm82.a2.v1",2,0,3,0,0,0
"Glyma.18G099600.Wm82.a2.v1",117,150,120,87,101,72
"Glyma.14G160600.Wm82.a2.v1",467,508,382,441,359,291
"Glyma.10G055300.Wm82.a2.v1",1067,888,738,437,547,458
"Glyma.17G054500.Wm82.a2.v1",0,0,0,4,3,1
"Glyma.01G091900.Wm82.a2.v1",4,9,3,2,3,4
"Glyma.20G197000.Wm82.a2.v1",8,17,5,32,33,22
"Glyma.13G126800.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.09G070800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G157000.Wm82.a2.v1",328,343,320,129,135,159
"Glyma.15G183700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G072800.Wm82.a2.v1",0,0,1,0,0,0
"Glyma.20G214800.Wm82.a2.v1",6,6,1,8,6,5
"Glyma.18G271700.Wm82.a2.v1",40,53,38,27,37,30
"Glyma.14G182000.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.15G059500.Wm82.a2.v1",46,65,54,52,57,47
"Glyma.10G027200.Wm82.a2.v1",51,41,61,29,21,25
"Glyma.18G024100.Wm82.a2.v1",68,53,38,34,48,47
"Glyma.04G091200.Wm82.a2.v1",2,2,0,1,1,0
"Glyma.13G046100.Wm82.a2.v1",80,106,69,75,94,100
"Glyma.06G286000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G223100.Wm82.a2.v1",1,2,0,0,3,3
"Glyma.02G006500.Wm82.a2.v1",63,66,49,49,64,45
"Glyma.04G158800.Wm82.a2.v1",126,150,116,50,72,80
"Glyma.02G074400.Wm82.a2.v1",92,105,52,31,25,29
"Glyma.19G173600.Wm82.a2.v1",472,566,352,105,75,90
"Glyma.07G238500.Wm82.a2.v1",0,0,0,2,0,1
"Glyma.10G277800.Wm82.a2.v1",31,17,18,16,27,34
"Glyma.13G072200.Wm82.a2.v1",2,2,0,0,0,2
"Glyma.05G230600.Wm82.a2.v1",114,123,82,153,192,133
"Glyma.10G267600.Wm82.a2.v1",16,8,6,9,6,4
"Glyma.16G198700.Wm82.a2.v1",0,0,1,0,0,1
"Glyma.07G268800.Wm82.a2.v1",1,1,1,0,3,0
"Glyma.18G001600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G190300.Wm82.a2.v1",22,18,12,9,6,9
"Glyma.20G055300.Wm82.a2.v1",3,2,0,0,0,1
"Glyma.15G136300.Wm82.a2.v1",165,182,151,167,216,159
"Glyma.06G180100.Wm82.a2.v1",5,6,7,9,6,6
"Glyma.13G358000.Wm82.a2.v1",50,91,62,13,23,18
"Glyma.07G266800.Wm82.a2.v1",90,94,76,60,60,61
"Glyma.19G186600.Wm82.a2.v1",23,20,17,31,45,14
"Glyma.07G215300.Wm82.a2.v1",4825,4817,4163,5655,6025,5046
"Glyma.01G175200.Wm82.a2.v1",182,167,91,237,309,138
"Glyma.08G023500.Wm82.a2.v1",3,8,2,3,3,3
"Glyma.08G208700.Wm82.a2.v1",166,206,140,84,86,106
"Glyma.08G042000.Wm82.a2.v1",11,6,9,7,6,2
"Glyma.19G257600.Wm82.a2.v1",268,268,176,187,214,188
"Glyma.08G189900.Wm82.a2.v1",139,151,88,106,124,95
